INCIDENT_NUMBER,SR_CREATION_CHANNEL,INCIDENT_ADDRESS,STATUS,GROUP_NAME,NAME,INCIDENT_DATE,ATTRIBUTE5,ATTRIBUTE6
323284,AGENT,ARBOUR HILL 29,CLOSED,Central Area Office,Illegal Dumping,28/10/2011,714193.82,734662.48
322558,AGENT,LOMBARD STREET WEST 15 SAINT ANTHONY'S,CLOSED,South East Area Office,Illegal Dumping,27/10/2011,715113.62,732944.11
317810,AGENT,KINCORA ROAD CLONTARF,CLOSED,North Central Area Office,Illegal Dumping,18/10/2011,319512,236003
322104,AGENT,BLUEBELL ROAD BLUEBELL 63A,CLOSED,South Central Area Office,Illegal Dumping,26/10/2011,710908.06,732397.95
322064,AGENT,NORSEMAN PLACE ARBOUR HILL 15,CLOSED,Central Area Office,Illegal Dumping,26/10/2011,714224.19,734857.58
322636,AGENT,FOXFIELD SAINT JOHN RAHENY 13,CLOSED,North Central Area Office,Illegal Dumping,27/10/2011,722647.95,738697.76
321690,AGENT,SHELMALIER ROAD EAST WALL 64,CLOSED,Central Area Office,Illegal Dumping,25/10/2011,717629.65,735351.93
321872,AGENT,PEMBROKE STREET UPPER DUBLIN 2,CLOSED,South East Area Office,Illegal Dumping,25/10/2011,316277,232965
321808,AGENT,RICHMOND COTTAGES NORTH 23,CLOSED,Central Area Office,Illegal Dumping,25/10/2011,716518.61,735595.38
324306,AGENT,KENILWORTH PARK KIMMAGE 74,CLOSED,South Central Area Office,Illegal Dumping,01/11/2011,714434.18,731411.26
324384,AGENT,JAMESTOWN ROAD INCHICORE,CLOSED,South Central Area Office,Illegal Dumping,01/11/2011,310616,232762
321920,AGENT,BROOKWOOD AVENUE ARTANE 86,CLOSED,North Central Area Office,Illegal Dumping,25/10/2011,719807.00,738050.26
322340,AGENT,KING STREET NORTH 1-3,CLOSED,Central Area Office,Illegal Dumping,26/10/2011,715119.71,734785.79
324324,AGENT,SAUL ROAD CRUMLIN 65,CLOSED,Waste Management,Illegal Dumping,01/11/2011,713231.10,731915.25
322572,AGENT,MADISON ROAD KILMAINHAM 15,CLOSED,South Central Area Office,Illegal Dumping,27/10/2011,713017.22,733377.91
322770,AGENT,RICHMOND AVENUE SOUTH RATHMINES,CLOSED,South East Area Office,Illegal Dumping,27/10/2011,316317,230082
322772,AGENT,GRANGEMORE AVENUE DONAGHMEDE 13,CLOSED,North Central Area Office,Illegal Dumping,27/10/2011,721975.09,740088.19
322468,AGENT,PEMBROKE ROW 7,CLOSED,South East Area Office,Illegal Dumping,27/10/2011,716645.40,733060.87
324474,AGENT,CHARLES STREET GREAT 18,CLOSED,Central Area Office,Illegal Dumping,01/11/2011,716243.30,735525.79
322608,AGENT,LISBURN STREET SMITHFIELD 2,CLOSED,Central Area Office,Illegal Dumping,27/10/2011,715009.11,734809.27
324338,AGENT,ARD NA MEALA BALLYMUN,CLOSED,North West Area Office,Illegal Dumping,01/11/2011,315159,240009
322704,AGENT,DORSET STREET UPPER SAINT MARY'S PLACE,CLOSED,Central Area Office,Illegal Dumping,27/10/2011,715239.82,735094.54
324258,AGENT,MARYFIELD CRESCENT ARTANE,CLOSED,North Central Area Office,Illegal Dumping,01/11/2011,318879,238402
322488,AGENT,DE COURCY SQUARE GLASNEVIN 39,CLOSED,Central Area Office,Illegal Dumping,27/10/2011,714997.32,736671.29
322200,AGENT,CHERRY ORCHARD PARADE BALLYFERMOT,CLOSED,Waste Management,Illegal Dumping,26/10/2011,308531,232896
327122,AGENT,JOHN DILLON STREET 3,CLOSED,South Central Area Office,Illegal Dumping,07/11/2011,714983.48,733843.54
325558,AGENT,CLONMELLON GROVE DONAGHMEDE 5,CLOSED,North Central Area Office,Illegal Dumping,03/11/2011,721562.03,740153.02
320760,AGENT,ANNALY ROAD CABRA 51,CLOSED,Central Area Office,Illegal Dumping,24/10/2011,713980.37,736248.55
325502,AGENT,PEMBROKE LANE BALLSBRIDGE 33,CLOSED,South East Area Office,Illegal Dumping,03/11/2011,717152.79,732718.45
317780,AGENT,LORNE TERRACE BROOKFIELD STREET KILMAINHAM 5,CLOSED,South Central Area Office,Illegal Dumping,18/10/2011,713072.71,733500.99
324720,AGENT,COMERAGH ROAD DRIMNAGH 166,CLOSED,South Central Area Office,Illegal Dumping,01/11/2011,711438.57,732334.80
324640,AGENT,CASTLETIMON GREEN COOLOCK 3,CLOSED,North Central Area Office,Illegal Dumping,01/11/2011,717842.48,739660.88
320462,AGENT,BALLYGALL CRESCENT FINGLAS EAST,CLOSED,North West Area Office,Illegal Dumping,24/10/2011,313465,238476
